"documents.authors","documents.contents","documents.datetime","documents.isbn","documents.price","documents.publisher","documents.sale_price","documents.status","documents.thumbnail","documents.title","documents.translators","documents.url","meta.is_end","meta.pageable_count","meta.total_count"
한국소프트웨어기술인협회 빅데이터전략연구소,▶ 이 책은 빅데이터 개론(Big Data)에 대해 다룬 도서입니다. 빅데이터 개론(Big Data)의 기초적이고 전반적인 내용을 확인할 수 있도록 구성했습니다.,2018-02-27T00:00:00.000+09:00,8970938753 9788970938752,24000,광문각,21600,정상판매,https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F974926%3Ftimestamp%3D20210103145515,빅데이터 개론(Big Data)(양장본 HardCover),character(0),https://search.daum.net/search?w=bookpage&bookId=974926&q=%EB%B9%85%EB%8D%B0%EC%9D%B4%ED%84%B0+%EA%B0%9C%EB%A1%A0%28Big+Data%29%28%EC%96%91%EC%9E%A5%EB%B3%B8+HardCover%29,FALSE,874,874
c("배수남", "오공", "윤석진", "이기영"),- 독자대상 : 수학능력시험 준비생 - 구성 : 이론 - 특징 : ① 수능에 출제된 3844어휘, 매일 50개씩 79일 3회 반복구성 ② 자주 출제되는 순서대로 등급별 뛰어넘기 구성 ③ 수능에 출제된 예문을 정확한 직역으로 독해까지 대비,2018-02-01T00:00:00.000+09:00,1161010386 9791161010380,15000,발해북스,13500,정상판매,https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F1603417%3Ftimestamp%3D20200221132631,수능어휘(BIG DATA),character(0),https://search.daum.net/search?w=bookpage&bookId=1603417&q=%EC%88%98%EB%8A%A5%EC%96%B4%ED%9C%98%28BIG+DATA%29,FALSE,874,874
Mayer-Schonberger Viktor,Year Award. Since Aristotle, we have fought to understand the causes behind everything. But this ideology is fading. In the age of big data, we can crunch an incomprehensible amount of information, providing us with invaluable insights about the what rather than,2013-10-01T00:00:00.000+09:00,1848547927 9781848547926,14400,JOHN MURRAY PUBLISHERS,5000,정상판매,https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F3097630%3Ftimestamp%3D20190217190408,Big Data,character(0),https://search.daum.net/search?w=bookpage&bookId=3097630&q=Big+Data,FALSE,874,874
c("Houghton Mifflin Harcourt", "Heeren Vern E", "Hornsby John"),A revelatory exploration of emerging trends in "big data"--our newfound ability to gather and interpret vast amounts of information--and the revolutionary effects these developments are producing in business, science, and society at large.,2014-03-04T00:00:00.000+09:00,0544227751 9780544227750,22850,Houghton Mifflin Harcourt,17570,정상판매,https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F3054324%3Ftimestamp%3D20190217122905,Big Data,character(0),https://search.daum.net/search?w=bookpage&bookId=3054324&q=Big+Data,FALSE,874,874
Mayer-Schonberger Viktor Mayer-Schonberger,A revelatory exploration of emerging trends in "big data"--our newfound ability to gather and interpret vast amounts of information--and the revolutionary effects these developments are producing in business, science, and society at large.,2014-03-04T00:00:00.000+09:00, 9780544227750,21630,,17090,정상판매,https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F3852156%3Ftimestamp%3D20190227122709,Big Data,character(0),https://search.daum.net/search?w=bookpage&bookId=3852156&q=Big+Data,FALSE,874,874
버나드 마,[Big Data(빅 데이터)]는 스마트한 세상을 살아가고 있는 우리에게 더 나은 의사결정과 실적향상을 위해 사용하는 스마트 빅 데이터의 분석하고, 빅 데이터의 가능성을 현실 세계에서 결과물로 변환하는 방법을 소개하는 책이다. 또한 다른 람들과 차별화를 이루기 위해 빅 데이터를 사용하는 방법을 제대로 알고, 실제 무에서 신뢰할만한 결과물로 실적을 향상시킬 수 있도록 빅 데이터에 대한 기본서 역할을 한다.,2016-03-20T00:00:00.000+09:00,8909194464 9788909194464,14000,교학사,12600,정상판매,https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F376371%3Ftimestamp%3D20210220153616,Big Data(빅 데이터),Ann Lee,https://search.daum.net/search?w=bookpage&bookId=376371&q=Big+Data%28%EB%B9%85+%EB%8D%B0%EC%9D%B4%ED%84%B0%29,FALSE,874,874
Marr Bernard B,,2015-02-24T00:00:00.000+09:00,1118965833 9781118965832,20100,Wiley,19800,정상판매,https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F3292348%3Ftimestamp%3D20190219090044,Big Data,character(0),https://search.daum.net/search?w=bookpage&bookId=3292348&q=Big+Data,FALSE,874,874
Manning Publications,,2015-05-18T00:00:00.000+09:00,1617290343 9781617290343,55800,Manning Publications,56070,정상판매,https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F3072325%3Ftimestamp%3D20190217150646,Big Data,character(0),https://search.daum.net/search?w=bookpage&bookId=3072325&q=Big+Data,FALSE,874,874
Nathan Marz,,2015-05-10T00:00:00.000+09:00, 9781617290343,67790,,52710,정상판매,https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F3911358%3Ftimestamp%3D20190227181633,Big Data,character(0),https://search.daum.net/search?w=bookpage&bookId=3911358&q=Big+Data,FALSE,874,874
Marr Bernard,,2015-02-09T00:00:00.000+09:00, 9781118965832,29830,,19800,정상판매,https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F3874526%3Ftimestamp%3D20190227144037,Big Data,character(0),https://search.daum.net/search?w=bookpage&bookId=3874526&q=Big+Data,FALSE,874,874
